"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc"
"html-button-response","183","238479","0.0-5.0-1.0-5.2","3","1","4kw6cl76hatyejp","","697.9999999999709","","<p>Press the button below when you are ready to continue.</p>","0","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","184","241034","0.0-5.0-1.0-0.3","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/left/14_04_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"sentence-resp","185","250132","0.0-5.0-1.0-1.3","3","1","4kw6cl76hatyejp","","9097","","","","","","","SWS-SENT-RESPONSE","","","{""Q0"":""Two plus seven is less when""}","Two plus seven is less than ten.","two,plus,seven,less,ten","TWO PLUS SEVEN IS LESS WHEN","1","1","1","1","0","4","0.8"
"html-keyboard-response","186","251383","0.0-5.0-1.0-2.3","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
"audio-keyboard-response","187","253436","0.0-5.0-1.0-3.3","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/left/14_04_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"html-keyboard-response","188","254438","0.0-5.0-1.0-4.3","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
"html-button-response","189","256835","0.0-5.0-1.0-5.3","3","1","4kw6cl76hatyejp","","1896.000000000029","","<p>Press the button below when you are ready to continue.</p>","0","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","190","259577","0.0-5.0-1.0-0.4","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/right/14_06_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"sentence-resp","191","267304","0.0-5.0-1.0-1.4","3","1","4kw6cl76hatyejp","","7727","","","","","","","SWS-SENT-RESPONSE","","","{""Q0"":""Bring your problems to the wise chief\n""}","Bring your problems to the wise chief.","bring,your,problems,wise,chief","BRING YOUR PROBLEMS TO THE WISE CHIEF ","1","1","1","1","1","5","1"
"html-keyboard-response","192","268555","0.0-5.0-1.0-2.4","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
"audio-keyboard-response","193","270796","0.0-5.0-1.0-3.4","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/right/14_06_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"html-keyboard-response","194","271797","0.0-5.0-1.0-4.4","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
"html-button-response","195","273229","0.0-5.0-1.0-5.4","3","1","4kw6cl76hatyejp","","931","","<p>Press the button below when you are ready to continue.</p>","0","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","196","276217","0.0-5.0-1.0-0.5","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/left/14_05_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"sentence-resp","197","284713","0.0-5.0-1.0-1.5","3","1","4kw6cl76hatyejp","","8496","","","","","","","SWS-SENT-RESPONSE","","","{""Q0"":""The clothes look into the eyes of the sweet girl""}","The glow deepened in the eyes of the sweet girl.","glow,deepened,eyes,sweet,girl","THE CLOTHES LOOK INTO THE EYES OF THE SWEET GIRL","0","0","1","1","1","3","0.6"
"html-keyboard-response","198","285965","0.0-5.0-1.0-2.5","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
"audio-keyboard-response","199","288454","0.0-5.0-1.0-3.5","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/left/14_05_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"html-keyboard-response","200","289456","0.0-5.0-1.0-4.5","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
