"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress"
"audio-keyboard-response","211","2854856","0.0-5.0-1.0-3.7","2","1","q4qs86cjwweeet5","","null","","sounds/sentences/left/14_05_cfSWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","212","2855862","0.0-5.0-1.0-4.7","2","1","q4qs86cjwweeet5","","null","","","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","213","2857028","0.0-5.0-1.0-5.7","2","1","q4qs86cjwweeet5","","663.5","","<p>Press the button below when you are ready to continue.</p>","0","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","214","2860051","0.0-5.0-1.0-0.8","2","1","q4qs86cjwweeet5","","null","","sounds/sentences/right/14_10_cfSWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"sentence-resp","215","2878081","0.0-5.0-1.0-1.8","2","1","q4qs86cjwweeet5","","18027","","","","","","","SWS-SENT-RESPONSE","","","{""Q0"":""the night shines on the blue seas""}","Port is a strong wine with a smoky taste.","port,strong,wine,smoky,taste","THE NIGHT SHINES ON THE BLUE SEAS","0","0","0","0","0","0","0","","","","",""
"html-keyboard-response","216","2879337","0.0-5.0-1.0-2.8","2","1","q4qs86cjwweeet5","","null","","","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","217","2881854","0.0-5.0-1.0-3.8","2","1","q4qs86cjwweeet5","","null","","sounds/sentences/right/14_10_cfSWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","218","2882855","0.0-5.0-1.0-4.8","2","1","q4qs86cjwweeet5","","null","","","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","219","2884055","0.0-5.0-1.0-5.8","2","1","q4qs86cjwweeet5","","696.5999999940395","","<p>Press the button below when you are ready to continue.</p>","0","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","220","2886611","0.0-5.0-1.0-0.9","2","1","q4qs86cjwweeet5","","null","","sounds/sentences/left/14_04_cfSWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"sentence-resp","221","2924788","0.0-5.0-1.0-1.9","2","1","q4qs86cjwweeet5","","38171","","","","","","","SWS-SENT-RESPONSE","","","{""Q0"":""soup tastes sweet""}","Two plus seven is less than ten.","two,plus,seven,less,ten","SOUP TASTES SWEET","0","0","0","0","0","0","0","","","","",""
"html-keyboard-response","222","2926047","0.0-5.0-1.0-2.9","2","1","q4qs86cjwweeet5","","null","","","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","223","2928159","0.0-5.0-1.0-3.9","2","1","q4qs86cjwweeet5","","null","","sounds/sentences/left/14_04_cfSWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","224","2929161","0.0-5.0-1.0-4.9","2","1","q4qs86cjwweeet5","","null","","","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","225","2930417","0.0-5.0-1.0-5.9","2","1","q4qs86cjwweeet5","","754","","<p>Press the button below when you are ready to continue.</p>","0","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","226","2945188","0.0-6.0-0.0","2","1","q4qs86cjwweeet5","","14266.300000011921","","<p>In this part of the study, you will hear sounds similar to those you just heard.</p><p>Please focus on these sounds, as you may be asked questions about them later.</p><p>Occasionally, the sounds will pause for up to two seconds. When this happens, please press SPACEBAR as quickly as you can.</br>This helps ensure that you are paying attention to the sounds.</p><p>This part of the study will take about 12 minutes to complete, and you will be given the opportunity to take a couple of short breaks every few minutes.</p><p><strong>Press SPACEBAR to begin</strong></p>","","32","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","227","2946196","0.0-6.0-1.0-0.0","2","1","q4qs86cjwweeet5","","null","","<p style=""font-size: 40px;"">+</p>","","null","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","228","3131209","0.0-6.0-1.0-1.0","2","1","q4qs86cjwweeet5","","null","","","","null","","","SL-TRAIN","","","","","","","","","","","","","","0","1927.800000011921","1254.800000011921","sounds/B/TRAIN/SEQ__05.mp3","4"
"html-button-response","229","3137851","0.0-6.0-1.0-2.0","2","1","q4qs86cjwweeet5","","6638.300000011921","","<p>You may take a short break if you wish.</p>","0","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","230","3138856","0.0-6.0-1.0-3.0","2","1","q4qs86cjwweeet5","","null","","<p style=""font-size: 40px;"">+</p>","","null","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","231","3323863","0.0-6.0-1.0-4.0","2","1","q4qs86cjwweeet5","","null","","","","null","","","SL-TRAIN","","","","","","","","","","","","","","0","1297","1394.5999999940395","sounds/B/TRAIN/SEQ__11.mp3","6"
