"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","responses","syllable","syllable_type"
"audio-keyboard-response","93","166283","0.0-4.0-1.0-0.24","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","94","167014","0.0-4.0-1.0-1.24","2","0","4jmezqs5npk3znh","","730.3000000715256","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","95","168018","0.0-4.0-1.0-2.24","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","96","168813","0.0-4.0-1.0-0.25","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","97","169306","0.0-4.0-1.0-1.25","2","0","4jmezqs5npk3znh","","491.40000009536743","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","98","170310","0.0-4.0-1.0-2.25","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","99","171123","0.0-4.0-1.0-0.26","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/pu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","100","171645","0.0-4.0-1.0-1.26","2","0","4jmezqs5npk3znh","","520.8999999761581","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","101","172650","0.0-4.0-1.0-2.26","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","102","173453","0.0-4.0-1.0-0.27","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/ko_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","103","174056","0.0-4.0-1.0-1.27","2","0","4jmezqs5npk3znh","","602","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","104","175061","0.0-4.0-1.0-2.27","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","105","175875","0.0-4.0-1.0-0.28","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","106","176714","0.0-4.0-1.0-1.28","2","0","4jmezqs5npk3znh","","836.9000000953674","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","107","177720","0.0-4.0-1.0-2.28","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","108","178523","0.0-4.0-1.0-0.29","2","0","4jmezqs5npk3znh","","null","","sounds/induction/left_rev/ru_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","109","179116","0.0-4.0-1.0-1.29","2","0","4jmezqs5npk3znh","","591.1999999284744","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","110","180130","0.0-4.0-1.0-2.29","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","111","180923","0.0-4.0-1.0-0.30","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/ru_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","112","181572","0.0-4.0-1.0-1.30","2","0","4jmezqs5npk3znh","","647.6000000238419","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","113","182580","0.0-4.0-1.0-2.30","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","114","183393","0.0-4.0-1.0-0.31","2","0","4jmezqs5npk3znh","","null","","sounds/induction/left_rev/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","115","183955","0.0-4.0-1.0-1.31","2","0","4jmezqs5npk3znh","","560.3999999761581","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","",""
