"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","syllable","syllable_type"
"audio-keyboard-response","454","1925083","0.0-8.0-2.0-3.34","2","1","hclvf56gxy2hvqh","","null","","sounds/B/TD/NI_10_TD.mp3","","null","","","TD_SUMMARY","","","","","","","","","","","","","","","","","","","","","NI","","1200,7500,9300,12900","2","1200","7500","9300","12900","null","null","null","null","","1","",""
"html-button-response","455","1926225","0.0-8.0-2.0-0.35","2","1","hclvf56gxy2hvqh","","1140.7000000476837","","<p>Trial 36 of 36</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","ME","sounds/syllables/me_SWS.wav","1200,5700,7500,9300","2","","","","","","","","","","","",""
"html-keyboard-response","456","1927246","0.0-8.0-2.0-1.35","2","1","hclvf56gxy2hvqh","","1019.5999999046326","","","","80","","","","","","","","","","","","","","","","","","","","","","","","ME","","1200,5700,7500,9300","2","","","","","","","","","","","",""
"audio-keyboard-response","457","1927544","0.0-8.0-2.0-2.36-0.36","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","458","1927922","0.0-8.0-2.0-2.36-1.36","2","1","hclvf56gxy2hvqh","","378.2999999523163","","<p>To replay the <u>TARGET SOUND</u>, press P.</p> When you are ready to begin, press SPACEBAR.","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","459","1942883","0.0-8.0-2.0-3.35","2","1","hclvf56gxy2hvqh","","null","","sounds/B/TD/ME_07_TD.mp3","","null","","","TD_SUMMARY","","","","","","","","","","","","","","","","","","","","","ME","","1200,5700,7500,9300","2","1200","5700","7500","9300","null","null","null","null","","1","",""
"survey-text","460","1951090","0.0-9.0-0.0","2","1","hclvf56gxy2hvqh","","8195.699999928474","","","","","","","","","","{""Q0"":""SWS""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","461","1953645","0.0-9.0-1.0","2","1","hclvf56gxy2hvqh","","2552.7000000476837","","In this part of the study, you will listen to short sounds. You will then be asked if each sound was speech-like or not.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","462","1953944","0.0-9.0-2.0-0.0","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","463","1955106","0.0-9.0-2.0-1.0","2","1","hclvf56gxy2hvqh","","1159.2999999523163","","Did you hear the sound as speech-like?","0","","","","TRANSCRIPTION-JUDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MEE","sinewave"
"html-keyboard-response","464","1956112","0.0-9.0-2.0-3.0","2","1","hclvf56gxy2hvqh","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","465","1956423","0.0-9.0-2.0-0.1","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","466","1957272","0.0-9.0-2.0-1.1","2","1","hclvf56gxy2hvqh","","848.1000000238419","","Did you hear the sound as speech-like?","1","","","","TRANSCRIPTION-JUDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SUE","sinewave"
"survey-text","467","1958869","0.0-9.0-2.0-2.1-0.1","2","1","hclvf56gxy2hvqh","","1596","","","","","","","TRANSCRIPTION-FOLLOWUP","","","{""Q0"":""su""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SUE","sinewave"
"html-keyboard-response","468","1959876","0.0-9.0-2.0-3.1","2","1","hclvf56gxy2hvqh","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","469","1960184","0.0-9.0-2.0-0.2","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","470","1962273","0.0-9.0-2.0-1.2","2","1","hclvf56gxy2hvqh","","2087.600000023842","","Did you hear the sound as speech-like?","0","","","","TRANSCRIPTION-JUDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NIGH","sinewave"
"html-keyboard-response","471","1963275","0.0-9.0-2.0-3.2","2","1","hclvf56gxy2hvqh","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","472","1963582","0.0-9.0-2.0-0.3","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","473","1964469","0.0-9.0-2.0-1.3","2","1","hclvf56gxy2hvqh","","886.7999999523163","","Did you hear the sound as speech-like?","0","","","","TRANSCRIPTION-JUDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FEE","sinewave"
"html-keyboard-response","474","1965480","0.0-9.0-2.0-3.3","2","1","hclvf56gxy2hvqh","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","475","1965781","0.0-9.0-2.0-0.4","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/ru_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","476","1966442","0.0-9.0-2.0-1.4","2","1","hclvf56gxy2hvqh","","660.1000000238419","","Did you hear the sound as speech-like?","1","","","","TRANSCRIPTION-JUDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RUE","sinewave"
"survey-text","477","1967917","0.0-9.0-2.0-2.4-0.4","2","1","hclvf56gxy2hvqh","","1469.3999999761581","","","","","","","TRANSCRIPTION-FOLLOWUP","","","{""Q0"":""ru""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RUE","sinewave"
"html-keyboard-response","478","1968923","0.0-9.0-2.0-3.4","2","1","hclvf56gxy2hvqh","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","479","1969221","0.0-9.0-2.0-0.5","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/ko_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","480","1969888","0.0-9.0-2.0-1.5","2","1","hclvf56gxy2hvqh","","666.2000000476837","","Did you hear the sound as speech-like?","0","","","","TRANSCRIPTION-JUDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KO","sinewave"
"html-keyboard-response","481","1970890","0.0-9.0-2.0-3.5","2","1","hclvf56gxy2hvqh","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","482","1971184","0.0-9.0-2.0-0.6","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","483","1971752","0.0-9.0-2.0-1.6","2","1","hclvf56gxy2hvqh","","565.6999999284744","","Did you hear the sound as speech-like?","1","","","","TRANSCRIPTION-JUDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TIE","sinewave"
"survey-text","484","1973351","0.0-9.0-2.0-2.6-0.6","2","1","hclvf56gxy2hvqh","","1594.5","","","","","","","TRANSCRIPTION-FOLLOWUP","","","{""Q0"":""ti""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TIE","sinewave"
"html-keyboard-response","485","1974361","0.0-9.0-2.0-3.6","2","1","hclvf56gxy2hvqh","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","486","1974663","0.0-9.0-2.0-0.7","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/fu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","487","1975390","0.0-9.0-2.0-1.7","2","1","hclvf56gxy2hvqh","","724","","Did you hear the sound as speech-like?","0","","","","TRANSCRIPTION-JUDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FOO","sinewave"
"html-keyboard-response","488","1976391","0.0-9.0-2.0-3.7","2","1","hclvf56gxy2hvqh","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","489","1976693","0.0-9.0-2.0-0.8","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/ge_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","490","1977346","0.0-9.0-2.0-1.8","2","1","hclvf56gxy2hvqh","","650.7999999523163","","Did you hear the sound as speech-like?","0","","","","TRANSCRIPTION-JUDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GEE","sinewave"
"html-keyboard-response","491","1978361","0.0-9.0-2.0-3.8","2","1","hclvf56gxy2hvqh","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","492","1978663","0.0-9.0-2.0-0.9","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/re_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","493","1979216","0.0-9.0-2.0-1.9","2","1","hclvf56gxy2hvqh","","550.6000000238419","","Did you hear the sound as speech-like?","0","","","","TRANSCRIPTION-JUDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","REE","sinewave"
"html-keyboard-response","494","1980218","0.0-9.0-2.0-3.9","2","1","hclvf56gxy2hvqh","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","495","1980513","0.0-9.0-2.0-0.10","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/ta_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","496","1981213","0.0-9.0-2.0-1.10","2","1","hclvf56gxy2hvqh","","698","","Did you hear the sound as speech-like?","1","","","","TRANSCRIPTION-JUDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TA","sinewave"
"survey-text","497","1983102","0.0-9.0-2.0-2.10-0.10","2","1","hclvf56gxy2hvqh","","1884.6000000238419","","","","","","","TRANSCRIPTION-FOLLOWUP","","","{""Q0"":""ta""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TA","sinewave"
"html-keyboard-response","498","1984121","0.0-9.0-2.0-3.10","2","1","hclvf56gxy2hvqh","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","499","1984421","0.0-9.0-2.0-0.11","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/pu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","500","1985241","0.0-9.0-2.0-1.11","2","1","hclvf56gxy2hvqh","","818.6000000238419","","Did you hear the sound as speech-like?","0","","","","TRANSCRIPTION-JUDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POO","sinewave"
"html-keyboard-response","501","1986255","0.0-9.0-2.0-3.11","2","1","hclvf56gxy2hvqh","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","502","1986552","0.0-10.0-0.0","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/ko_C.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","503","1987426","0.0-10.0-1.0","2","1","hclvf56gxy2hvqh","","871.4000000953674","","Did you hear the sound as speech-like?","1","","","","TRANSCRIPTION-JUDGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KO","non-sinewave"
"survey-text","504","1988769","0.0-10.0-2.0-0.0","2","1","hclvf56gxy2hvqh","","1337.6000000238419","","","","","","","TRANSCRIPTION-FOLLOWUP","","","{""Q0"":""ko""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KO","non-sinewave"
"html-keyboard-response","505","1989772","0.0-10.0-3.0","2","1","hclvf56gxy2hvqh","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
